geometry,price,id,name,source,source_updated_at,updated_at,address,has_free,free_time,grace_period,basement,decks,building_type,gantry_height,night_parking,short_term_parking,payment_method,raw
"{""type""=>""Point"", ""coordinates""=>[103.84444657174043, 1.4302482463872332]}","",Y62M,BLOCK 342 YISHUN RING ROAD,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLOCK 342 YISHUN RING ROAD,true,SUN & PH FR 7AM-10.30PM,"",Y,1,BASEMENT CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""BASEMENT CAR PARK"", ""y_coord""=>""45775.1779"", ""x_coord""=>""29238.4163"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""Y"", ""night_parking""=>""YES"", ""address""=>""BLOCK 342 YISHUN RING ROAD"", ""car_park_decks""=>""1"", ""_id""=>1591, ""car_park_no""=>""Y62M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84758790802697, 1.4200872798387854]}","",Y61M,BLK 431 YISHUN AVE 1,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 431 YISHUN AVE 1,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44651.6313"", ""x_coord""=>""29588.0070"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 431 YISHUN AVE 1"", ""car_park_decks""=>""6"", ""_id""=>1590, ""car_park_no""=>""Y61M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84811914547437, 1.4211366487611314]}","",Y60M,BLK 430 YISHUN AVE 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 430 YISHUN AVE 11,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44767.6656"", ""x_coord""=>""29647.1253"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 430 YISHUN AVE 11"", ""car_park_decks""=>""6"", ""_id""=>1589, ""car_park_no""=>""Y60M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.83419379488392, 1.432522375685484]}","",Y6,BLK 150/161 YISHUN STREET 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 150/161 YISHUN STREET 11,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""46026.6367"", ""x_coord""=>""28097.4355"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 150/161 YISHUN STREET 11"", ""car_park_decks""=>""0"", ""_id""=>1588, ""car_park_no""=>""Y6"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84917559649482, 1.422273080703614]}","",Y59M,BLK 429 YISHUN AVE 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 429 YISHUN AVE 11,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44893.3273"", ""x_coord""=>""29764.6921"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 429 YISHUN AVE 11"", ""car_park_decks""=>""6"", ""_id""=>1587, ""car_park_no""=>""Y59M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8323821722556, 1.43253858184899]}","",Y58,162 YISHUN STREET 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,162 YISHUN STREET 11,false,NO,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""46028.4287"", ""x_coord""=>""27895.8292"", ""free_parking""=>""NO"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""162 YISHUN STREET 11"", ""car_park_decks""=>""0"", ""_id""=>1586, ""car_park_no""=>""Y58"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84644671073723, 1.4239913964824005]}","",Y57,BLK 415/417 YISHUN RING ROAD/AVENUE 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 415/417 YISHUN RING ROAD/AVENUE 11,false,NO,"",N,0,SURFACE CAR PARK,4.50,NO,7AM-7PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-7PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""45083.3281"", ""x_coord""=>""29461.0058"", ""free_parking""=>""NO"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 415/417 YISHUN RING ROAD/AVENUE 11"", ""car_park_decks""=>""0"", ""_id""=>1585, ""car_park_no""=>""Y57"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.83676244840743, 1.4254490824077795]}","",Y56,"BLK 926/932,934/935 YISHUN CENTRAL 1",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLK 926/932,934/935 YISHUN CENTRAL 1",false,NO,"",N,0,SURFACE CAR PARK,2.50,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""45244.5078"", ""x_coord""=>""28383.2891"", ""free_parking""=>""NO"", ""gantry_height""=>""2.50"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 926/932,934/935 YISHUN CENTRAL 1"", ""car_park_decks""=>""0"", ""_id""=>1584, ""car_park_no""=>""Y56"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.83703502204177, 1.4273112268342905]}","",Y54M,BLK 925 YISHUN CENTRAL 1,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 925 YISHUN CENTRAL 1,false,NO,"",N,5,MULTI-STOREY CAR PARK,1.80,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""45450.4144"", ""x_coord""=>""28413.6222"", ""free_parking""=>""NO"", ""gantry_height""=>""1.80"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 925 YISHUN CENTRAL 1"", ""car_park_decks""=>""5"", ""_id""=>1583, ""car_park_no""=>""Y54M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8460160641916, 1.4229233334426428]}","",Y53M,BLK 426 YISHUN AVE 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 426 YISHUN AVE 11,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44965.2268"", ""x_coord""=>""29413.0818"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 426 YISHUN AVE 11"", ""car_park_decks""=>""6"", ""_id""=>1582, ""car_park_no""=>""Y53M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84491997742371, 1.4203097710727475]}","",Y52M,BLK 456A YISHUN ST 41,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 456A YISHUN ST 41,true,SUN & PH FR 7AM-10.30PM,"",N,12,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44676.2316"", ""x_coord""=>""29291.1048"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 456A YISHUN ST 41"", ""car_park_decks""=>""12"", ""_id""=>1581, ""car_park_no""=>""Y52M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
