Shrewsbury Road Off-Street,"Central, North & North East","Daily, 0700-0700: $0.50 /30 mins (Per Minute Charging)",-,-,-,1.3181362,103.8476727
Square 2,"Central, North & North East",7am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,$2.20 for 1st 4hrs; $1.10 for sub. ½ hr; Aft 6pm: $2.20 per entry,1.3207487,103.844163672977
Sun Plaza,"Central, North & North East",7am-5pm: $1.20 for 1st hr; $0.65 for sub. ½ hr,5pm-11pm: $2.20 per entry; Aft 11pm: $3.30 per entry,Same as wkdays,Same as wkdays,1.44815185,103.819502889986
The Verge,"Central, North & North East",7am-5pm: $1.60 per hr,5pm-12am: $2.50 per entry; Aft 12am: $1.30 per hr,Same as wkdays,7am-12am: $2.50 per entry; Aft 12am: $2 per hr,1.2929,103.8529
Thomson Plaza,"Central, North & North East",7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-11am & 4pm-12am: $1.20 for 1st hr; $0.70 for sub. ½ hr; 11am-4pm: $1.20 for 1st hr; $1 for sub. ½ hr,Same as Saturday,1.3546534,103.831072972866
Toa Payoh HDB Hub,"Central, North & North East",7am-6pm: $0.50 per ½ hr,6pm-1am: $1 per entry; Aft 10.30pm: $2 per entry,Same as wkdays,7am-1am: $1 per entry; Aft 10.30pm: $2 per entry,1.334193,103.847657
United Square Shopping Mall,"Central, North & North East",7pm-6pm: $2.20 for 1st hr; $1.10 for sub. hr,Aft 6pm: $2 per entry,7am-6pm: $2.20 for 1st 2hrs; $1.10 for sub. hr; Aft 6pm: $2 per entry,Same as Saturday,1.316701,103.844136
Velocity @ Novena Square,"Central, North & North East",6am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,Same as wkdays,1.3198257,103.843884824071
Yishun YS-ONE,"Central, North & North East",0700-2230: $0.0167 /min,2230-0700: $0.0167 /min ;(Capped at $4.00),Same as wkdays,"0700-2230: Free Parking, 2230-0700: $0.0167/min (Capped at $4.00)",1.429384,103.83497
112 Katong,East,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-5.59pm: $1.07 for 1st hr; $0.27 for sub. 15mins.,6pm-8.59pm:$1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-8.59pm: $1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,Same as Saturday,1.305233,103.905055084155
Bedok Mall,East,"Daily: 12-11.59pm: $1.50 for 1st hr, $0.40 for sub. 15 mins",-,-,-,1.3256702,103.9314714
Bedok Point,East,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,Same as wkdays,Same as wkdays,1.32475745,103.932389569318
Century Square,East,3.01am-6pm: S$1.07 for 1st hr and S$0.32 every 15 mins or part thereof.,6.01am-3am: $2.14 per entry,3.01am-6pm:S$0.32 every 15 mins or part thereof; 6.01am-3am:$2.14 per entry.,Same as Saturday,1.35227645,103.943774152751
Changi Airport - South Car Park (between T2 and JetQuay),East,"$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)",$0.035 per min. Capped at $35 per 24hrs.,$0.035 per min. Capped at $35 per 24hrs.,Same as Saturday,1.318631,103.970879
"Changi Airport - T1, T2, T3",East,"$0.04 per min      *Based on the per-minute rate of S$0.04, 24 hours of parking will be S$57.60.",$0.04 per min,$0.04 per min,Same as Saturday,1.357338,103.988565
Changi City Point,East,7.01am-6pm: $0.70 per ½ hr or part thereof.,6.01pm-7am: $2.50 per entry,7.01am-5pm: $2.50 for 1st 2hrs or part thereof; $1.20 for sub. ½ hr or part thereof. 5.01pm-7am: $2.50 per entry,Same as Saturday,1.33405185,103.962895369333
Changi Village Hotel,East,8am-6pm: $2 for 1st hr; $1.50 for sub. hr,Aft 6pm: $5.35 per entry,Same as wkdays,Same as wkdays,1.3900384,103.9867854
City Plaza,East,8am-5pm: $1.10 for 1st hr; $0.70 for sub. ½ hr,5pm-12am: $1.20 per entry; Aft 12am: $2.40 per entry,Same as wkdays,7am-12am: $1.20 per entry; Aft 12am: $2.40 per entry,1.3147322,103.893386107345
D'Resort,East,"Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).","Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).","Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $5 per entry. Max/day: $19.",Same as Saturday,1.3799828,103.9550047
Downtown East,East,"Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).","Mon-Thu (excluding PH, Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.","Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.",Same as Saturday,1.3773722,103.954647998901
East Coast Park E1/E2/E3 Off-Street,East,Daily: 0700-0700: $0.50 /30 Mins (Per Minute Charging),-,-,-,1.304668,103.925974
Eastpoint Mall,East,"Daily: $1.20 for 1st hr or part thereof, $0.30 for sub. 15 mins or part thereof.",-,Same as wkdays,Same as wkdays,1.3424679,103.9528535
Grand Mecure Roxy Hotel,East,Daily: $1.60 per hr,-,-,-,1.303117,103.9046
